No.,図形名,文字,UCS,文字,代替変換区分
429,GJ000429,􀆬,U+6B21,次,2
430,GJ000430,􀆭,U+7434,琴,1
431,GJ000431,􀆮,U+6B23,欣,2
432,GJ000432,􀆯,,,3
433,GJ000433,􀆰,,,3
434,GJ000434,􀆱,U+9580,門,2
435,GJ000435,􀆲,,,3
436,GJ000436,􀆳,,,3
437,GJ000437,􀆴,,,3
438,GJ000438,􀆵,,,3
439,GJ000439,􀆶,,,3
440,GJ000440,􀆷,,,3
441,GJ000441,􀆸,,,3
442,GJ000442,􀆹,,,3
443,GJ000443,􀆺,,,3
444,GJ000444,􀆻,U+9417,鐗,1
445,GJ000445,􀆼,,,3
446,GJ000446,􀆽,,,3
447,GJ000447,􀆾,,,3
448,GJ000448,􀆿,,,3
449,GJ000449,􀇀,,,3
450,GJ000450,􀇁,,,3
451,GJ000451,􀇂,,,3
452,GJ000452,􀇃,,,3
453,GJ000453,􀇄,,,3
454,GJ000454,􀇅,U+95A2,関,1
455,GJ000455,􀇆,,,3
456,GJ000456,􀇇,U+95BB,閻,1
457,GJ000457,􀇈,,,3
458,GJ000458,􀇉,U+9686,隆,1
459,GJ000459,􀇊,,,3
460,GJ000460,􀇋,,,3
461,GJ000461,􀇌,,,3
462,GJ000462,􀇍,,,3
463,GJ000463,􀇎,,,3
464,GJ000464,􀇏,U+96B8,隸,1
465,GJ000465,􀇐,,,3
466,GJ000466,􀇑,,,3
467,GJ000467,􀇒,,,3
468,GJ000468,􀇓,,,3
469,GJ000469,􀇔,,,3
470,GJ000470,􀇕,,,3
471,GJ000471,􀇖,,,3
472,GJ000472,􀇗,,,3
473,GJ000473,􀇘,,,3
474,GJ000474,􀇙,,,3
475,GJ000475,􀇚,,,3
476,GJ000476,􀇛,,,3
477,GJ000477,􀇜,,,3
478,GJ000478,􀇝,,,3
479,GJ000479,􀇞,,,3
480,GJ000480,􀇟,,,3
481,GJ000481,􀇠,,,3
482,GJ000482,􀇡,,,3
483,GJ000483,􀇢,,,3
484,GJ000484,􀇣,,,3
485,GJ000485,􀇤,,,3
486,GJ000486,􀇥,,,3
487,GJ000487,􀇦,,,3
488,GJ000488,􀇧,U+99C4,駄,1
489,GJ000489,􀇨,,,3
490,GJ000490,􀇩,,,3
491,GJ000491,􀇪,,,3
492,GJ000492,􀇫,,,3
493,GJ000493,􀇬,,,3
494,GJ000494,􀇭,,,3
495,GJ000495,􀇮,,,3
496,GJ000496,􀇯,,,3
497,GJ000497,􀇰,,,3
498,GJ000498,􀇱,,,3
499,GJ000499,􀇲,U+6572,敲,1
500,GJ000500,􀇳,,,3
501,GJ000501,􀇴,,,3
502,GJ000502,􀇵,,,3
503,GJ000503,􀇶,,,3
504,GJ000504,􀇷,,,3
505,GJ000505,􀇸,,,3
506,GJ000506,􀇹,,,3
507,GJ000507,􀇺,,,3
508,GJ000508,􀇻,,,3
509,GJ000509,􀇼,,,3
510,GJ000510,􀇽,,,3
511,GJ000511,􀇾,,,3
512,GJ000512,􀇿,,,3
513,GJ000513,􀈀,,,3
514,GJ000514,􀈁,,,3
515,GJ000515,􀈂,,,3
516,GJ000516,􀈃,U+9D3B,鴻,1
517,GJ000517,􀈄,,,3
518,GJ000518,􀈅,,,3
519,GJ000519,􀈆,,,3
520,GJ000520,􀈇,U+9D6C,鵬,1
521,GJ000521,􀈈,,,3
522,GJ000522,􀈉,,,3
523,GJ000523,􀈊,,,3
524,GJ000524,􀈋,,,3
525,GJ000525,􀈌,,,3
526,GJ000526,􀈍,,,3
527,GJ000527,􀈎,,,3
528,GJ000528,􀈏,,,3
529,GJ000529,􀈐,,,3
530,GJ000530,􀈑,,,3
531,GJ000531,􀈒,,,3
532,GJ000532,􀈓,,,3
